Country,Market,Date,Product,Price Min,Price Max,Unit,Change,URL
Poland,Poland – Fresh Market quotations,30.07.2026,Apple industrial dry (collection),Buy access,,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,Apples Gloster 70+ (CA/collection),Buy access,,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,Apples Golden Delicious 70+ (CA/collection),Buy access,,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,Apples Idared 70+ (CA/collection),Buy access,,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,Apples Jonagold 70+ (CA/collection),Buy access,,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,Apples Jonagored 70+ (CA/collection),Buy access,,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,Apples Ligol 70+ (CA/collection),Buy access,,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,Apples Mutsu 70+ (CA/collection)v,Buy access,,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,Apples Red Jonaprince 70+ (CA/collection),Buy access,,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,Apples Szampion 70+ (CA/collection),Buy access,,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,Cherries (dessert),Buy access,,kg,-7.1%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,Early leeks,Buy access,Poland,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,Highbush blueberries (sales),Buy access,,kg,+3.6%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,Industrial apple (collection),Buy access,,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,Sour cherries (for compote),Buy access,,kg,+2.5%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,Sour cherries (for freezing / purchasing),Buy access,,kg,-2.9%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,Sour cherries (for pressing / purchasing),Buy access,,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,apple early geneva (collection),Buy access,,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,apple paulared 70+ (collection),Buy access,,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,apple piros (collection),Buy access,,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,apricots,Buy access,Southern Europe,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,bananas,Buy access,South America,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,beetroots early,Buy access,Poland,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,blueberry highbush for freezing (industrial),Buy access,,kg,+6.3%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,blueberry highbush for juice (industrial),Buy access,,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,broccoli,Buy access,Poland,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,cabbage red,Buy access,Poland,kg,-4.4%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,cabbage white,Buy access,Poland,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,cabbage white (industrial) (collection),Buy access,,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,cabbage white fresh-grown,Buy access,Poland,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,cabbage white fresh-grown,Buy access,Poland,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,carrots young,Buy access,Poland,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,cauliflower,Buy access,Poland,piece,-11.1%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,celery,Buy access,Poland,kg,-16.7%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,celery - early,Buy access,Poland,piece,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,chinese cabbage,Buy access,Poland,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,cucumbers - fresh short,Buy access,Poland,kg,-10.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,eggplant,Buy access,Poland,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,grapefruits,Buy access,Spain / South Africa / Turkey,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,grapes dark,Buy access,Chile/ Peru/South Africa/Italy,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,grapes light,Buy access,Italy/South Africa/Chile,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
Poland,Poland – Fresh Market quotations,30.07.2026,kiwi,Buy access,Greece/Italy/Chile,kg,0.0%,https://www.fresh-market.info/price-quotations/poland/fresh-market-quotations
